distribution,x_axis_value,mu,case,entity_id
Uniform,1,0.3475,Worst,2199023256031
Uniform,1,0.34049999999999997,Average,2199023256031
Uniform,2,0.5925,Worst,2199023256031
Uniform,2,0.5954999999999999,Average,2199023256031
Uniform,3,0.703,Worst,2199023256031
Uniform,3,0.72,Average,2199023256031
Uniform,4,0.783,Worst,2199023256031
Uniform,4,0.7655000000000001,Average,2199023256031
Uniform,5,0.8230000000000001,Worst,2199023256031
Uniform,5,0.8219999999999998,Average,2199023256031
Uniform,6,0.8355,Worst,2199023256031
Uniform,6,0.8459999999999999,Average,2199023256031
Uniform,7,0.8699999999999999,Worst,2199023256031
Uniform,7,0.8630000000000001,Average,2199023256031
Uniform,8,0.8844999999999998,Worst,2199023256031
Uniform,8,0.8920000000000001,Average,2199023256031
Uniform,9,0.8949999999999999,Worst,2199023256031
Uniform,9,0.9025000000000001,Average,2199023256031
Uniform,10,0.9030000000000001,Worst,2199023256031
Uniform,10,0.9095000000000001,Average,2199023256031
Uniform,11,0.9244999999999999,Worst,2199023256031
Uniform,11,0.9139999999999999,Average,2199023256031
Uniform,12,0.9179999999999999,Worst,2199023256031
Uniform,12,0.9195,Average,2199023256031
Uniform,13,0.9254999999999999,Worst,2199023256031
Uniform,13,0.931,Average,2199023256031
Uniform,14,0.9279999999999999,Worst,2199023256031
Uniform,14,0.93,Average,2199023256031
Uniform,15,0.9344999999999999,Worst,2199023256031
Uniform,15,0.9329999999999998,Average,2199023256031
Uniform,16,0.9414999999999999,Worst,2199023256031
Uniform,16,0.9369999999999999,Average,2199023256031
Uniform,17,0.9389999999999998,Worst,2199023256031
Uniform,17,0.9369999999999999,Average,2199023256031
Uniform,18,0.942,Worst,2199023256031
Uniform,18,0.9500000000000002,Average,2199023256031
Uniform,19,0.9535,Worst,2199023256031
Uniform,19,0.9500000000000002,Average,2199023256031
Uniform,20,0.9484999999999999,Worst,2199023256031
Uniform,20,0.9419999999999998,Average,2199023256031
Uniform,21,0.9585000000000001,Worst,2199023256031
Uniform,21,0.9545,Average,2199023256031
Uniform,22,0.9469999999999998,Worst,2199023256031
Uniform,22,0.9514999999999999,Average,2199023256031
Uniform,23,0.952,Worst,2199023256031
Uniform,23,0.9594999999999999,Average,2199023256031
Uniform,24,0.96,Worst,2199023256031
Uniform,24,0.9614999999999998,Average,2199023256031
Uniform,25,0.9690000000000001,Worst,2199023256031
Uniform,25,0.9555,Average,2199023256031
Uniform,26,0.9545,Worst,2199023256031
Uniform,26,0.9670000000000002,Average,2199023256031
Uniform,27,0.9645000000000001,Worst,2199023256031
Uniform,27,0.9669999999999999,Average,2199023256031
Uniform,28,0.9640000000000001,Worst,2199023256031
Uniform,28,0.9710000000000001,Average,2199023256031
Uniform,29,0.966,Worst,2199023256031
Uniform,29,0.9709999999999999,Average,2199023256031
Uniform,30,0.9669999999999999,Worst,2199023256031
Uniform,30,0.9649999999999999,Average,2199023256031
Uniform,1,0.0,Worst,26388279067560
Uniform,1,0.0,Average,26388279067560
Uniform,2,0.48650000000000004,Worst,26388279067560
Uniform,2,0.4995,Average,26388279067560
Uniform,3,0.6475000000000001,Worst,26388279067560
Uniform,3,0.678,Average,26388279067560
Uniform,4,0.7555000000000001,Worst,26388279067560
Uniform,4,0.7424999999999999,Average,26388279067560
Uniform,5,0.7815,Worst,26388279067560
Uniform,5,0.8014999999999999,Average,26388279067560
Uniform,6,0.8364999999999998,Worst,26388279067560
Uniform,6,0.8379999999999999,Average,26388279067560
Uniform,7,0.8625000000000002,Worst,26388279067560
Uniform,7,0.8554999999999999,Average,26388279067560
Uniform,8,0.884,Worst,26388279067560
Uniform,8,0.8735000000000002,Average,26388279067560
Uniform,9,0.8895,Worst,26388279067560
Uniform,9,0.8945000000000001,Average,26388279067560
Uniform,10,0.892,Worst,26388279067560
Uniform,10,0.8995,Average,26388279067560
