distribution,x_axis_mode,x_axis_value,mu,case,entity_id,num_nulls
Uniform,relative,1,0.4,Worst,I1_1422,523
Uniform,relative,1,0.4,Average,I1_1422,523
Uniform,relative,2,0.58,Worst,I1_1422,523
Uniform,relative,2,0.6266666666666667,Average,I1_1422,523
Uniform,relative,3,0.7666666666666667,Worst,I1_1422,523
Uniform,relative,3,0.7266666666666667,Average,I1_1422,523
Uniform,relative,4,0.7866666666666666,Worst,I1_1422,523
Uniform,relative,4,0.7466666666666667,Average,I1_1422,523
Uniform,relative,5,0.8333333333333334,Worst,I1_1422,523
Uniform,relative,5,0.8,Average,I1_1422,523
Uniform,relative,6,0.86,Worst,I1_1422,523
Uniform,relative,6,0.8533333333333334,Average,I1_1422,523
Uniform,relative,7,0.8333333333333334,Worst,I1_1422,523
Uniform,relative,7,0.8866666666666667,Average,I1_1422,523
Uniform,relative,8,0.9,Worst,I1_1422,523
Uniform,relative,8,0.84,Average,I1_1422,523
Uniform,relative,9,0.88,Worst,I1_1422,523
Uniform,relative,9,0.9066666666666666,Average,I1_1422,523
Uniform,relative,10,0.92,Worst,I1_1422,523
Uniform,relative,10,0.8866666666666667,Average,I1_1422,523
Uniform,relative,11,0.92,Worst,I1_1422,523
Uniform,relative,11,0.9533333333333334,Average,I1_1422,523
Uniform,relative,12,0.9266666666666666,Worst,I1_1422,523
Uniform,relative,12,0.9266666666666666,Average,I1_1422,523
Uniform,relative,13,0.94,Worst,I1_1422,523
Uniform,relative,13,0.92,Average,I1_1422,523
Uniform,relative,14,0.9266666666666666,Worst,I1_1422,523
Uniform,relative,14,0.9266666666666666,Average,I1_1422,523
Uniform,relative,15,0.9266666666666666,Worst,I1_1422,523
Uniform,relative,15,0.9466666666666667,Average,I1_1422,523
Uniform,relative,16,0.96,Worst,I1_1422,523
Uniform,relative,16,0.9733333333333334,Average,I1_1422,523
Uniform,relative,17,0.9266666666666666,Worst,I1_1422,523
Uniform,relative,17,0.9466666666666667,Average,I1_1422,523
Uniform,relative,18,0.9133333333333333,Worst,I1_1422,523
Uniform,relative,18,0.9333333333333333,Average,I1_1422,523
Uniform,relative,19,0.92,Worst,I1_1422,523
Uniform,relative,19,0.9533333333333334,Average,I1_1422,523
Uniform,relative,20,0.96,Worst,I1_1422,523
